Experiment ID                :  onemax
Problem Type                 :  OM
Data Input File Name         :  NA
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  1
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  9.0E-4
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  100


 R   1		 G   0		 BestInG      66		 AvgOfG       50.48		 StDv       5.014		 95% ConfInt      49.477     51.483
 R   1		 G   1		 BestInG      68		 AvgOfG       53.13		 StDv       4.629		 95% ConfInt      52.204     54.056
 R   1		 G   2		 BestInG      71		 AvgOfG       56.31		 StDv       4.275		 95% ConfInt      55.455     57.165
 R   1		 G   3		 BestInG      71		 AvgOfG        58.7		 StDv       3.956		 95% ConfInt      57.909     59.491
 R   1		 G   4		 BestInG      71		 AvgOfG       60.99		 StDv       4.066		 95% ConfInt      60.177     61.803
 R   1		 G   5		 BestInG      72		 AvgOfG       63.19		 StDv       3.716		 95% ConfInt      62.447     63.933
 R   1		 G   6		 BestInG      73		 AvgOfG       64.63		 StDv       3.651		 95% ConfInt        63.9      65.36
 R   1		 G   7		 BestInG      73		 AvgOfG       66.07		 StDv       3.307		 95% ConfInt      65.409     66.731
 R   1		 G   8		 BestInG      74		 AvgOfG       67.41		 StDv       3.245		 95% ConfInt      66.761     68.059
 R   1		 G   9		 BestInG      74		 AvgOfG       69.06		 StDv       2.722		 95% ConfInt      68.516     69.604
 R   1		 G  10		 BestInG      75		 AvgOfG       70.58		 StDv       2.301		 95% ConfInt       70.12      71.04
 R   1		 G  11		 BestInG      76		 AvgOfG       71.68		 StDv       2.242		 95% ConfInt      71.232     72.128
 R   1		 G  12		 BestInG      78		 AvgOfG       73.07		 StDv       2.026		 95% ConfInt      72.665     73.475
 R   1		 G  13		 BestInG      79		 AvgOfG       74.24		 StDv       1.939		 95% ConfInt      73.852     74.628
 R   1		 G  14		 BestInG      80		 AvgOfG        75.1		 StDv       1.812		 95% ConfInt      74.738     75.462
 R   1		 G  15		 BestInG      81		 AvgOfG       76.03		 StDv       1.446		 95% ConfInt      75.741     76.319
 R   1		 G  16		 BestInG      81		 AvgOfG       76.62		 StDv       2.009		 95% ConfInt      76.218     77.022
 R   1		 G  17		 BestInG      83		 AvgOfG       77.85		 StDv       1.743		 95% ConfInt      77.501     78.199
 R   1		 G  18		 BestInG      82		 AvgOfG       78.68		 StDv       1.693		 95% ConfInt      78.341     79.019
 R   1		 G  19		 BestInG      84		 AvgOfG       79.52		 StDv       1.839		 95% ConfInt      79.152     79.888
 R   1		 G  20		 BestInG      86		 AvgOfG       80.39		 StDv       2.164		 95% ConfInt      79.957     80.823
 R   1		 G  21		 BestInG      87		 AvgOfG       81.34		 StDv       1.913		 95% ConfInt      80.957     81.723
 R   1		 G  22		 BestInG      86		 AvgOfG        82.1		 StDv       1.997		 95% ConfInt      81.701     82.499
 R   1		 G  23		 BestInG      87		 AvgOfG       82.97		 StDv       1.883		 95% ConfInt      82.593     83.347
 R   1		 G  24		 BestInG      88		 AvgOfG       84.17		 StDv       1.682		 95% ConfInt      83.834     84.506
 R   1		 G  25		 BestInG      89		 AvgOfG        85.2		 StDv       1.694		 95% ConfInt      84.861     85.539
 R   1		 G  26		 BestInG      90		 AvgOfG       86.03		 StDv       1.611		 95% ConfInt      85.708     86.352
 R   1		 G  27		 BestInG      90		 AvgOfG       86.69		 StDv       1.245		 95% ConfInt      86.441     86.939
 R   1		 G  28		 BestInG      90		 AvgOfG       87.07		 StDv       1.183		 95% ConfInt      86.833     87.307
 R   1		 G  29		 BestInG      91		 AvgOfG       87.75		 StDv       1.395		 95% ConfInt      87.471     88.029
 R   1		 G  30		 BestInG      92		 AvgOfG       88.67		 StDv       1.464		 95% ConfInt      88.377     88.963
 R   1		 G  31		 BestInG      92		 AvgOfG       89.41		 StDv       1.393		 95% ConfInt      89.131     89.689
 R   1		 G  32		 BestInG      93		 AvgOfG       90.09		 StDv       1.248		 95% ConfInt       89.84      90.34
 R   1		 G  33		 BestInG      93		 AvgOfG       90.57		 StDv       1.328		 95% ConfInt      90.304     90.836
 R   1		 G  34		 BestInG      95		 AvgOfG        91.4		 StDv       1.287		 95% ConfInt      91.143     91.657
 R   1		 G  35		 BestInG      96		 AvgOfG        92.1		 StDv       1.185		 95% ConfInt      91.863     92.337
 R   1		 G  36		 BestInG      95		 AvgOfG       92.59		 StDv        1.12		 95% ConfInt      92.366     92.814
 R   1		 G  37		 BestInG      97		 AvgOfG       93.09		 StDv       1.296		 95% ConfInt      92.831     93.349
 R   1		 G  38		 BestInG      96		 AvgOfG       93.68		 StDv         1.1		 95% ConfInt       93.46       93.9
 R   1		 G  39		 BestInG      97		 AvgOfG        94.3		 StDv       0.859		 95% ConfInt      94.128     94.472
 R   1		 G  40		 BestInG      98		 AvgOfG       94.52		 StDv       1.218		 95% ConfInt      94.276     94.764
 R   1		 G  41		 BestInG      99		 AvgOfG        95.1		 StDv       1.259		 95% ConfInt      94.848     95.352
 R   1		 G  42		 BestInG      99		 AvgOfG       95.68		 StDv        1.23		 95% ConfInt      95.434     95.926
 R   1		 G  43		 BestInG      99		 AvgOfG        96.3		 StDv       1.275		 95% ConfInt      96.045     96.555
 R   1		 G  44		 BestInG      99		 AvgOfG       96.86		 StDv       1.255		 95% ConfInt      96.609     97.111
 R   1		 G  45		 BestInG     100		 AvgOfG       97.33		 StDv       1.083		 95% ConfInt      97.113     97.547
 R   1		 G  46		 BestInG     100		 AvgOfG       97.99		 StDv        0.87		 95% ConfInt      97.816     98.164
 R   1		 G  47		 BestInG     100		 AvgOfG       98.31		 StDv         0.8		 95% ConfInt       98.15      98.47
 R   1		 G  48		 BestInG     100		 AvgOfG        98.8		 StDv       0.682		 95% ConfInt      98.664     98.936
 R   1		 G  49		 BestInG     100		 AvgOfG       99.03		 StDv       0.521		 95% ConfInt      98.926     99.134
 R   1		 G  50		 BestInG     100		 AvgOfG       99.16		 StDv       0.581		 95% ConfInt      99.044     99.276
 R   1		 G  51		 BestInG     100		 AvgOfG       99.23		 StDv       0.566		 95% ConfInt      99.117     99.343
 R   1		 G  52		 BestInG     100		 AvgOfG       99.44		 StDv       0.656		 95% ConfInt      99.309     99.571
 R   1		 G  53		 BestInG     100		 AvgOfG       99.65		 StDv       0.539		 95% ConfInt      99.542     99.758
 R   1		 G  54		 BestInG     100		 AvgOfG       99.81		 StDv       0.443		 95% ConfInt      99.721     99.899
 R   1		 G  55		 BestInG     100		 AvgOfG       99.85		 StDv       0.411		 95% ConfInt      99.768     99.932
 R   1		 G  56		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G  57		 BestInG     100		 AvgOfG       99.87		 StDv       0.338		 95% ConfInt      99.802     99.938
 R   1		 G  58		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G  59		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G  60		 BestInG     100		 AvgOfG       99.86		 StDv       0.349		 95% ConfInt       99.79      99.93
 R   1		 G  61		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G  62		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G  63		 BestInG     100		 AvgOfG       99.95		 StDv       0.219		 95% ConfInt      99.906     99.994
 R   1		 G  64		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G  65		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G  66		 BestInG     100		 AvgOfG       99.88		 StDv       0.327		 95% ConfInt      99.815     99.945
 R   1		 G  67		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G  68		 BestInG     100		 AvgOfG       99.86		 StDv       0.349		 95% ConfInt       99.79      99.93
 R   1		 G  69		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G  70		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G  71		 BestInG     100		 AvgOfG       99.93		 StDv       0.293		 95% ConfInt      99.871     99.989
 R   1		 G  72		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G  73		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G  74		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G  75		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G  76		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G  77		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G  78		 BestInG     100		 AvgOfG        99.9		 StDv       0.414		 95% ConfInt      99.817     99.983
 R   1		 G  79		 BestInG     100		 AvgOfG       99.95		 StDv       0.219		 95% ConfInt      99.906     99.994
 R   1		 G  80		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G  81		 BestInG     100		 AvgOfG       99.92		 StDv       0.339		 95% ConfInt      99.852     99.988
 R   1		 G  82		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G  83		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G  84		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G  85		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G  86		 BestInG     100		 AvgOfG       99.87		 StDv       0.367		 95% ConfInt      99.797     99.943
 R   1		 G  87		 BestInG     100		 AvgOfG       99.81		 StDv       0.394		 95% ConfInt      99.731     99.889
 R   1		 G  88		 BestInG     100		 AvgOfG       99.87		 StDv       0.367		 95% ConfInt      99.797     99.943
 R   1		 G  89		 BestInG     100		 AvgOfG       99.89		 StDv       0.314		 95% ConfInt      99.827     99.953
 R   1		 G  90		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G  91		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G  92		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G  93		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G  94		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G  95		 BestInG     100		 AvgOfG       99.92		 StDv       0.339		 95% ConfInt      99.852     99.988
 R   1		 G  96		 BestInG     100		 AvgOfG       99.84		 StDv       0.395		 95% ConfInt      99.761     99.919
 R   1		 G  97		 BestInG     100		 AvgOfG       99.84		 StDv        0.42		 95% ConfInt      99.756     99.924
 R   1		 G  98		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G  99		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 100		 BestInG     100		 AvgOfG       99.96		 StDv       0.197		 95% ConfInt      99.921     99.999
 R   1		 G 101		 BestInG     100		 AvgOfG       99.85		 StDv       0.359		 95% ConfInt      99.778     99.922
 R   1		 G 102		 BestInG     100		 AvgOfG       99.95		 StDv       0.219		 95% ConfInt      99.906     99.994
 R   1		 G 103		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 104		 BestInG     100		 AvgOfG        99.9		 StDv       0.362		 95% ConfInt      99.828     99.972
 R   1		 G 105		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G 106		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G 107		 BestInG     100		 AvgOfG       99.95		 StDv       0.219		 95% ConfInt      99.906     99.994
 R   1		 G 108		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 109		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G 110		 BestInG     100		 AvgOfG       99.87		 StDv       0.367		 95% ConfInt      99.797     99.943
 R   1		 G 111		 BestInG     100		 AvgOfG       99.87		 StDv       0.393		 95% ConfInt      99.791     99.949
 R   1		 G 112		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 113		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G 114		 BestInG     100		 AvgOfG       99.87		 StDv       0.338		 95% ConfInt      99.802     99.938
 R   1		 G 115		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 116		 BestInG     100		 AvgOfG       99.94		 StDv       0.278		 95% ConfInt      99.884     99.996
 R   1		 G 117		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G 118		 BestInG     100		 AvgOfG       99.92		 StDv       0.307		 95% ConfInt      99.859     99.981
 R   1		 G 119		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G 120		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 121		 BestInG     100		 AvgOfG       99.84		 StDv        0.42		 95% ConfInt      99.756     99.924
 R   1		 G 122		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G 123		 BestInG     100		 AvgOfG       99.84		 StDv        0.42		 95% ConfInt      99.756     99.924
 R   1		 G 124		 BestInG     100		 AvgOfG       99.89		 StDv       0.314		 95% ConfInt      99.827     99.953
 R   1		 G 125		 BestInG     100		 AvgOfG       99.81		 StDv       0.443		 95% ConfInt      99.721     99.899
 R   1		 G 126		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 127		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G 128		 BestInG     100		 AvgOfG       99.95		 StDv       0.219		 95% ConfInt      99.906     99.994
 R   1		 G 129		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G 130		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 131		 BestInG     100		 AvgOfG       99.88		 StDv       0.327		 95% ConfInt      99.815     99.945
 R   1		 G 132		 BestInG     100		 AvgOfG       99.93		 StDv       0.293		 95% ConfInt      99.871     99.989
