Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G   1		 BestInG    8060.314		 AvgOfG   19523.337		 StDv   13766.453		 95% ConfInt    18652.67  20394.003
 R   0		 G   2		 BestInG    8060.314		 AvgOfG   29285.005		 StDv   23883.666		 95% ConfInt   27774.469   30795.54
 R   0		 G   3		 BestInG    8060.314		 AvgOfG   39046.673		 StDv    33795.19		 95% ConfInt   36909.278  41184.069
 R   0		 G   4		 BestInG    8060.314		 AvgOfG   48808.341		 StDv   43641.395		 95% ConfInt   46048.217  51568.465
 R   0		 G   5		 BestInG    8060.314		 AvgOfG    58570.01		 StDv   53458.385		 95% ConfInt   55189.004  61951.015
 R   0		 G   6		 BestInG    8060.314		 AvgOfG   68331.678		 StDv   63259.763		 95% ConfInt   64330.779  72332.577
 R   0		 G   7		 BestInG    8060.314		 AvgOfG   78093.346		 StDv   73051.813		 95% ConfInt   73473.144  82713.548
 R   0		 G   8		 BestInG    8060.314		 AvgOfG   87855.014		 StDv   82837.843		 95% ConfInt   82615.889   93094.14
 R   0		 G   9		 BestInG    8060.314		 AvgOfG   97616.683		 StDv   92619.762		 95% ConfInt   91758.895 103474.471
 R   0		 G  10		 BestInG    8060.314		 AvgOfG  107378.351		 StDv  102398.747		 95% ConfInt  100902.085 113854.616
 R   0		 G  11		 BestInG    8060.314		 AvgOfG  117140.019		 StDv  112175.566		 95% ConfInt  110045.413 124234.625
 R   0		 G  12		 BestInG    8060.314		 AvgOfG  126901.687		 StDv   121950.74		 95% ConfInt  119188.845 134614.529
 R   0		 G  13		 BestInG    8060.314		 AvgOfG  136663.356		 StDv  131724.635		 95% ConfInt  128332.358 144994.353
 R   0		 G  14		 BestInG    8060.314		 AvgOfG  146425.024		 StDv  141497.516		 95% ConfInt  137475.935 155374.113
 R   0		 G  15		 BestInG    8060.314		 AvgOfG  156186.692		 StDv  151269.579		 95% ConfInt  146619.564  165753.82
 R   0		 G  16		 BestInG    8060.314		 AvgOfG   165948.36		 StDv  161040.974		 95% ConfInt  155763.235 176133.486
 R   0		 G  17		 BestInG    8060.314		 AvgOfG  175710.029		 StDv  170811.815		 95% ConfInt  164906.941 186513.116
 R   0		 G  18		 BestInG    8060.314		 AvgOfG  185471.697		 StDv  180582.192		 95% ConfInt  174050.676 196892.718
 R   0		 G  19		 BestInG    8060.314		 AvgOfG  195233.365		 StDv  190352.177		 95% ConfInt  183194.437 207272.294
 R   0		 G  20		 BestInG    8060.314		 AvgOfG  204995.034		 StDv  200121.826		 95% ConfInt  192338.218 217651.849
 R   0		 G  21		 BestInG    8060.314		 AvgOfG  214756.702		 StDv  209891.188		 95% ConfInt  201482.018 228031.386
 R   0		 G  22		 BestInG    8060.314		 AvgOfG   224518.37		 StDv  219660.299		 95% ConfInt  210625.833 238410.907
 R   0		 G  23		 BestInG    8060.314		 AvgOfG  234280.038		 StDv  229429.193		 95% ConfInt  219769.662 248790.415
 R   0		 G  24		 BestInG    8060.314		 AvgOfG  244041.707		 StDv  239197.895		 95% ConfInt  228913.503  259169.91
 R   0		 G  25		 BestInG    8060.314		 AvgOfG  253803.375		 StDv  248966.429		 95% ConfInt  238057.355 269549.394
 R   0		 G  26		 BestInG    8060.314		 AvgOfG  263565.043		 StDv  258734.813		 95% ConfInt  247201.217  279928.87
 R   0		 G  27		 BestInG    8060.314		 AvgOfG  273326.711		 StDv  268503.064		 95% ConfInt  256345.087 290308.336
 R   0		 G  28		 BestInG    8060.314		 AvgOfG   283088.38		 StDv  278271.196		 95% ConfInt  265488.964 300687.795
 R   0		 G  29		 BestInG    8060.314		 AvgOfG  292850.048		 StDv  288039.221		 95% ConfInt  274632.848 311067.248
 R   0		 G  30		 BestInG    8060.314		 AvgOfG  302611.716		 StDv  297807.149		 95% ConfInt  283776.738 321446.694
 R   0		 G  31		 BestInG    8060.314		 AvgOfG  312373.384		 StDv   307574.99		 95% ConfInt  292920.634 331826.135
 R   0		 G  32		 BestInG    8060.314		 AvgOfG  322135.053		 StDv  317342.751		 95% ConfInt  302064.535 342205.571
